Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Male,23,Student,Single,12000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Housework,Housework,Phone Calls,Personal Care,Personal Care,Eating,Eating,Phone Calls,Entertainment,Entertainment,Video Games,Traveling,Traveling,Traveling,Traveling,Personal Care,Phone Calls,Traveling,Traveling,Traveling,Shopping,Shopping,Shopping,Housework,Personal Care,Eating,Study,Study,Entertainment,Entertainment,Socializing,Entertainment,Sleeping,Study,Sleeping,Sleeping,Sleeping,Sleeping
Male,21,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Exercise,Housework,Housework,Religion or Spiritual Activities,Eating,Entertainment,Entertainment,Entertainment,Entertainment,Sports,Sports,Sports,Sports,Sports,Sports,Eating,Entertainment,Study,Study,Study,Study,Eating,Eating,Entertainment,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Single,75000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Study,Study,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Socializing,Socializing,Socializing,Socializing,Eating,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Sleeping,Sleeping,Sleeping
Male,26,Student,Single,8000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Family Time,Family Time,Study,Study,Study,Personal Care,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Family Time,Family Time,Family Time,Family Time,Family Time,Shopping,Shopping,Socializing,Socializing,Socializing,Socializing,Entertainment,Entertainment,Entertainment,Entertainment,Eating,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,21,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Eating,Socializing,Socializing,Housework,Housework,Housework,Eating,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Cooking,Cooking,Eating,Work,Work,Work,Personal Care,Personal Care,Family Time,Eating,Phone Calls,Phone Calls,Phone Calls,Video Games,Video Games,Video Games,Video Games,Video Games,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,27,Student,Single,3000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,University Class,Study,Study,Study,University Class,Study,University Class,University Class,University Class,University Class,University Class,Personal Care,Video Games,Video Games,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Video Games,Eating,Video Games,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Student,Single,80000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Exercise,Exercise,Housework,Housework,Housework,Housework,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Eating,Sleeping,Sleeping,Sleeping,Religion or Spiritual Activities,Religion or Spiritual Activities,Study,Study,Study,Eating,Eating,Study,Entertainment,Entertainment,Entertainment,Entertainment,Eating,Eating,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Housework,Housework,Study,Study,Study,Housework,Housework,Housework,Religion or Spiritual Activities,Personal Care,Personal Care,Eating,Entertainment,Entertainment,Entertainment,Sports,Exercise,Traveling,Traveling,Traveling,Entertainment,Family Time,Family Time,Family Time,Family Time,Family Time,Reading or Writing,Reading or Writing,Study,Study,Entertainment,Nightlife,Nightlife,Nightlife,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Housework,Housework,Personal Care,Personal Care,Eating,Phone Calls,Family Time,Family Time,Personal Care,Personal Care,Personal Care,Nightlife,Nightlife,Nightlife,Nightlife,Nightlife,Nightlife,Nightlife,Traveling,Personal Care,Personal Care,Eating,Phone Calls,Study,Study,Study,Study,Study,Study,Study,Study,Socializing,Sleeping,Sleeping
Female,22,Student,Single,1000000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Eating,Family Time,Family Time,Personal Care,Socializing,Entertainment,Personal Care,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Entertainment,Entertainment,Family Time,Family Time,Family Time,Family Time,Family Time,Entertainment,Entertainment,Entertainment,Entertainment,Eating,Phone Calls,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
