Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Male,23,Student,Single,12000,Sleeping,Sleeping,Sleeping,Exercise,Exercise,Eating,Housework,Personal Care,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Phone Calls,Phone Calls,Personal Care,Work,Phone Calls,Housework,Housework,Sports,Sports,Personal Care,Video Games,Reading or Writing,Reading or Writing,Housework,Eating,Phone Calls,Entertainment,Entertainment,Entertainment,Phone Calls,Entertainment,Socializing,Video Games,Video Games,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,21,Student,Single,200000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,Eating,University Class,University Class,University Class,University Class,Socializing,Eating,Entertainment,Entertainment,Entertainment,Video Games,Video Games,Video Games,Video Games,Eating,Exercise,Study,Study,Study,Study,Study,Study,Eating,Entertainment,Entertainment,Entertainment,Nightlife,Nightlife,Nightlife,Nightlife,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,23,Student,Single,75000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Socializing,Socializing,Socializing,Socializing,Socializing,Eating,Reading or Writing,Reading or Writing,Reading or Writing,Reading or Writing,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Video Games,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping
Male,26,Student,Single,8000,Sleeping,Sleeping,Sleeping,Personal Care,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Travelling,Religion or Spiritual Activities,Eating,Personal Care,Personal Care,Personal Care,Personal Care,Exercise,Exercise,Exercise,Religion or Spiritual Activities,Study,Study,Study,Study,Study,Study,Study,Study,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,21,Student,Single,70000,Sleeping,Sleeping,Sleeping,Exercise,Traveling,Traveling,University Class,University Class,Phone Calls,Socializing,Socializing,Socializing,University Class,University Class,University Class,University Class,Eating,Eating,Socializing,Socializing,Socializing,Travelling,Travelling,Sleeping,Sleeping,Eating,Eating,Entertainment,Reading or Writing,Reading or Writing,Work,Work,Work,Work,Work,Eating,Phone Calls,Phone Calls,Video Games,Video Games,Video Games,Video Games,Video Games,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,27,Student,Single,3000,Sleeping,Sleeping,Entertainment,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Study,Study,Study,Study,Study,Study,Study,University Class,Study,Eating,Entertainment,Sleeping,Video Games,Personal Care,Entertainment,Entertainment,Entertainment,Study,Eating,Study,Study,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Student,Single,80000,Sleeping,Sleeping,University Class,Traveling,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Travelling,Travelling,Travelling,Travelling,Travelling,Housework,Housework,Eating,Study,Study,Study,Eating,Family Time,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Sleeping,Sleeping
Male,24,Student,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Eating,Family Time,Socializing,Socializing,Entertainment,Entertainment,Sleeping,Sleeping,Housework,Housework,Entertainment,Study,Study,Family Time,Socializing,Study,Study,Eating,Study,Video Games,Nightlife,Nightlife,Nightlife,Nightlife,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,23,Student,Single,100000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Housework,Housework,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,Eating,University Class,University Class,University Class,University Class,University Class,Travelling,Personal Care,Personal Care,Housework,Housework,Sleeping,Sleeping,Sleeping,Study,Study,Study,Study,Eating,Phone Calls,Personal Care,Study,Study,Study,Study,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping
Female,22,Student,Single,1000000,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Eating,Traveling,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Travelling,Travelling,Travelling,Personal Care,Entertainment,Entertainment,Entertainment,Eating,Family Time,Family Time,Study,Study,Study,Study,Phone Calls,Entertainment,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
